"Section Description
RDA common maDMP standard","Common standard fieldname
(click on hyperlinks for descriptions)
(see GC_RDA DMP structure, here)",Added to DSW knowledge model?,, DSW knowledge model UUID,Link / key to DSW knowledge model location,"Logical model tracking
(done, pending, changed)",Logical model changes,Logical model comments,Example,Data type,GC DMP Requirement,"required IF"" dependency",Cardinality RDA,Cardinality change GC,Required by,LAC requirement at time of transfer for archival datasets,"DataCite Record for DMP (Mandatory, Optional, Recommended)",Corresponding DataCite field(s),"DataCite Record for Dataset (M, O, R)",Corresponding DataCite field(s),NSL/NRC requirement,Recommended by,Simple fieldname,Nom de domaine simple,Nom de domaine,"Verification 1
agree/disagree (initials)","Verification 2
agree/disagree (initials)","Verification 3
agree/disagree (initials)",Verification comments 1,Verification comments 2,Verification comments 3
,dmp/dmp_id/identifier,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,https://doi.org/10.1371/journal.pcbi.1006750,string (free-form text),required,,1,,,,"M if DOI
O if alternate identifier","identfier
alternateIdentifier",,,,,dmp_id_identifier,pgd_id_identificateur,pgd/pgd_id/identificateur,KT yes,AR yes,,,,
,dmp/dmp_id/type,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,doi,controlled vocabulary,required,,1,,,,M   if identifier or alternateIdentifier,"identifierType
alternateIdentifierType",,,,,dmp_id_type,pgd_id_type,pgd/pgd_id/type,KT yes,AR yes,,,,
,dmp/dmp_id/type_other,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,dmp_id_type_other,pgd_id_autre,,,,,,,
,dmp/download_url,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,Pointing to Distribution,,,uri,required IF,,,,,,,,,,,,dmp_download_url,pgd_télécharger_url,,,,,,,
,dmp/format,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,"PDF, RDF/XML",controlled vocabulary,optional,,NA,0..n,,,,,,,,,,,,,,,,,
,dmp/indigenous_dmp_negotiation,FALSE,,,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=,done,indigenous_negotiation,,unknown,controlled vocabulary,required IF,if indigenous_considerations exist,NA,1,Tri-Agency,Y (Rights Management Information),,,,,,LAC,indigenous_dmp_negotiation,négotiation_pgd_autochtone,pgd/négotiation_pgd_autochtone,KT see comments line 115,,,,,
,dmp/language,TRUE,,e10f7931-38b5-4d63-baca-36f71dac6cf3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e10f7931-38b5-4d63-baca-36f71dac6cf3,done,dcx:Language handles multiple languages,,mul,controlled vocabulary,required,,1,,,,O,language,,,,,dmp_language,pgd_langue,pgd/langue,KT yes,AR yes,,,,
,dmp/language_multiple,TRUE,,e10f7931-38b5-4d63-baca-36f71dac6cf3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e10f7931-38b5-4d63-baca-36f71dac6cf3,done,,,"alq, crg, eng, fra, iku",string (free-form text),required IF,if language=mul,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,dmp_language_multiple,pgd_langue_multiples,,,,,,,
,dmp/modified,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,2021-04-22T14:32:54,DateTime. ISO 8601 datetime compliant string.,required,,1,,,,R,"date
dateType=""Updated""
dateInformation   (0-1)",,,,,dmp_datetime_modified,pgd_dateheure_modifé,pgd/dateheure_modifé,KT yes,AR yes,,,,
,dmp/title,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,The most exciting project ever.,string (free-form text),required,,1,,,,M,title (1-n) with language attribute,,,,,dmp_title,pgd_titre,pgd/titre,KT yes,AR yes,,,,
"2. PROJECT - nested data structure
Describes the project associated with the DMP, if applicable. It can be used to describe any type of project: that is, not only funded projects, but also internal projects, PhD theses, etc.",dmp/project/,TRUE,,c3dabaaf-c946-4a0d-889c-ede966f97667,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c3dabaaf-c946-4a0d-889c-ede966f97667,done,,,,nested data structure,optional,,0..n,,,"Y, when present (Title, aggregation level)",,,,,,,,,pgd/projet/,KT yes,AR yes,,KT: changed cardinality to match RDA Common Standard,ok (CCA),
,dmp/project/description,TRUE,,22583d74-3c98-4e0a-b363-26d767c88212,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=22583d74-3c98-4e0a-b363-26d767c88212,done,,,This small project collects unimportant data for secret missions to the sun.,string (free-form text),optional,,0..1,,,,,,,,,,project_description,projet_description,pgd/projet/description,KT yes,AR yes,,,,
,dmp/project/end,TRUE,,cabc6f07-6015-454e-b97a-c34db4ec0c60,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cabc6f07-6015-454e-b97a-c34db4ec0c60,done,,,2023-03-31T,Date. ISO 8601 datetime compliant string,optional,,0..1,,,,,,,,,,project_end,projet_fin,pgd/projet/fin,KT yes,AR yes,,,,
,dmp/project/partner_organization/,TRUE,,1ffc4e27-d02b-4c99-b855-f7b9079de2b5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1ffc4e27-d02b-4c99-b855-f7b9079de2b5,done,,,,,,,NA,,,,,,,,,,,,,,,,,,
,dmp/project/partner_organization/agreement_description,TRUE,,d5a2aa4d-8a56-4406-a58e-ab6c7f16d0e8,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d5a2aa4d-8a56-4406-a58e-ab6c7f16d0e8,done,Added Agreement Class,Added an agreement class that is a subclass of https://promsns.org/def/agr/agr.html#Agreement ,,string (free-form text),optional,,NA,0..1,,,,,,,,,partner_organization_agreement_description,organisation_partenaire_accord,,,,,,,
,dmp/project/partner_organization/agreement_download,TRUE,,2c794f1f-5292-4fa1-aec0-3bdec0e291da,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2c794f1f-5292-4fa1-aec0-3bdec0e291da,done,,,,uri,required IF,,NA,0..1,,,,,,,,,partner_organization_agreement_download,organisation_partenaire_accord_télécharger,,,,,,,
,dmp/project/partner_organization/agreement_type,TRUE,,6852841a-630a-4db3-9239-55b8ea79c0e7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=6852841a-630a-4db3-9239-55b8ea79c0e7,done,,,treaty,controlled vocabulary,required IF,,NA,0..1,,,,,,,,,partner_organization_agreement_type,organisation_partenaire_accord_type,,,,,,,
,dmp/project/partner_organization/name,TRUE,,d6d7a9e7-7fd4-4973-947e-ed334a25295d,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d6d7a9e7-7fd4-4973-947e-ed334a25295d,done,,,,string (free-form text),required IF,,NA,0..1,,,,,,,,,partner_organization_name,organisation_partenaire_accord_nom,,,,,,,
,dmp/project/partner_organization/partner_organization_id/,TRUE,,795ba3d2-bd62-4e3d-a14c-e90f6e32962c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=795ba3d2-bd62-4e3d-a14c-e90f6e32962c,done,,,,,optional,,NA,0..1,,,,,,,,,,,,,,,,,
,dmp/project/partner_organization/partner_organization_id/identifier,TRUE,,8fbe5db7-b1e4-41da-a0ad-9419327a18b5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8fbe5db7-b1e4-41da-a0ad-9419327a18b5,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,partner_organization_id_identifier,organisation_partenaire_id_identificateur,,,,,,,
,dmp/project/partner_organization/partner_organization_id/type,TRUE,,c01d467e-e95e-49cb-a9d6-0860dd8b0b4d,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c01d467e-e95e-49cb-a9d6-0860dd8b0b4d,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,partner_organization_id_type,organisation_partenaire_id_type,,,,,,,
,dmp/project/start,TRUE,,de84b9b5-bcd0-4954-8370-72ea83916b8c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=de84b9b5-bcd0-4954-8370-72ea83916b8c,done,,,2021-04-01T,Date. ISO 8601 datetime compliant string,optional,,0..1,,,,,,,,,,project_start,projet_début,pgd/projet/début,KT yes,AR yes,,,,
,dmp/project/title,TRUE,,f0ef08fd-d733-465c-bc66-5de0b826c41b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f0ef08fd-d733-465c-bc66-5de0b826c41b,done,,,Mission to the sun.,string (free-form text),required IF,if there is a project,1,,,,,,,,,,project_title,projet_titre,pgd/projet/titre,KT yes,AR yes,,,,
"3. PEOPLE
Contact 
Specifies the party which can provide any information on the DMP. This is not necessarily the DMP creator, and can be a person or an organisation.
Contributor  - nested data structure
For listing all parties involved in the process of the data management described by this DMP, and those parties involved in the creation and management of the DMP itself.",dmp/contact/,TRUE,,f7468e79-c621-4ac9-95e0-263ebdf23c73,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f7468e79-c621-4ac9-95e0-263ebdf23c73,done,,,,nested data structure,required,,1,,,"Y, when present (Creator [maintainer])",,,,,,,,,pgd/contact/,KT yes,AR yes,,KT: added cardinality and data type,ok (CCA),
,dmp/contact/contact_id/,TRUE,,959ef91f-7d60-4d59-9671-70d4fe87d581,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=959ef91f-7d60-4d59-9671-70d4fe87d581,done,,,,nested data structure,required,,1,,,,,,,,,,,,pgd/contact/contact_id/,KT yes,AR yes,,KT: added cardinality and data type,ok (CCA),
,dmp/contact/contact_id/identifier,TRUE,,74d8de46-8705-4419-9cd6-57226e7997e9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=74d8de46-8705-4419-9cd6-57226e7997e9,done,,,0000-0000-0000-0000,string (free-form text),required,,1,,,,,,,,,,contact_id_identifier,contact_id_identificateur,pgd/contact/contact_id/identificateur,KT yes,AR yes,,,,
,dmp/contact/contact_id/type,TRUE,,92174f32-0d71-45cc-9425-4ddf0f5fc59f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=92174f32-0d71-45cc-9425-4ddf0f5fc59f,done,,,orcid,controlled vocabulary,required,,1,,,,,,,,,,contact_id_type,contact_id_type,pgd/contact/contact_id/type,KT yes,AR yes,,,,
,dmp/contact/mbox,TRUE,,95551fc6-f167-4439-9eeb-160d306a0539,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=95551fc6-f167-4439-9eeb-160d306a0539,done,,,xxxxxx@canada.ca,string (free-form text),required,,1,,,,,,,,,,contact_mbox,contact_id_courriel,pgd/contact/contact_id/courriel,KT yes,AR yes,,,,
,dmp/contact/name,TRUE,,7da8808f-e6ec-476b-9af3-5fa158740680,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7da8808f-e6ec-476b-9af3-5fa158740680,done,,,Winnie Pooh,string (free-form text),required,,1,,,,,,,,,,contact_name,contact_id_nom,pgd/contact/contact_id/nom,KT yes,AR yes,,,,
,dmp/contact/succession_plan,TRUE,,8aa9dca8-b2c1-4565-87a9-72ac66fe269d,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8aa9dca8-b2c1-4565-87a9-72ac66fe269d,done,,,"No plan, data lost when contact leaves.",string (free-form text),required,,NA,1,Tri-Agency,,,,,,,,contact_succession_plan,contact_plan_succession,pgd/contact/plan_succession,KT yes,AR yes,,,,
,dmp/contributor/,TRUE,,73d686bd-7939-412e-8631-502ee6d9ea7b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=73d686bd-7939-412e-8631-502ee6d9ea7b,done,,,,nested data structure ,optional,,0..n,,,"Y, when present (Creator [creator]; Rights Management Information)",,,,,,,,,pgd/contributeur/,KT yes,AR yes,,"KT: changed to optional (RDA Common Standard is 0..n), unless you would like to make it mandatory in the GC instance?","ok, 0..n (CCA)",
,dmp/contributor/affiliation/,TRUE,,68530470-1f1c-4448-8593-63a288713a66,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=68530470-1f1c-4448-8593-63a288713a66,done,"Added dcso:Organization a subclass of foaf:Organization, with a dct:type attribue which indicate whether it is business, educational_institution, etc.
Added dcos:hasAffiliation attribute to dcso:Contributor. dcso:hasAffiliation has Country, Municipality, ProvinceState, Organization as ranges. They are disjunct.",,,,optional,,NA,0..1,,,O,,,,,,,,,KT see comment,,,"KT: all ""affiliation"" properties are GC; coloured them all yellow","ok, but keep grey for containers even if not in RDA std to make it easier to see acutal elements to be filled in by the user.  (CCA)",
,dmp/contributor/affiliation/business/,TRUE,,72922719-b14c-413f-a251-b4eb46abb480,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=72922719-b14c-413f-a251-b4eb46abb480,done,,,,,optional,,NA,0..1,,,,,,,,,,,,KT yes,,,,,
,dmp/contributor/affiliation/business/business_id/,TRUE,,3385193f-24df-4e96-8174-f60228c4ed46,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3385193f-24df-4e96-8174-f60228c4ed46,done,,,,,required IF,if a business is a contributor,NA,0..1,,,,,,,,,,,,KT yes,,,"KT: added ""required if"". Unclear if cardinality for ""required if"" situations is being designated as 0..1 (or 0..n) or as 1 (or 1..n). Have put 0..1 for now.",,
,dmp/contributor/affiliation/business/business_id/identifier,TRUE,,f2df0e4e-9632-4d42-b3b4-2ac3ab3624be,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f2df0e4e-9632-4d42-b3b4-2ac3ab3624be,done,,,,string (free-form text),required IF,if a business is a contributor,NA,0..1,,,O,affiliationIdentifier,,,,,business_id_identifier,affaires_id_identificateur,,KT see comments,,,"KT: added ""required if"" -- in RDA standard the id containers (containing identifier and type) are all mandatory. So if someone had a business affiliation (0..1), they would have to provide the id (identifier and type) information. Would this work?",ok (CCA),
,dmp/contributor/affiliation/business/business_id/type,TRUE,,809506f7-8690-49c1-b393-9e3ccb42d855,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=809506f7-8690-49c1-b393-9e3ccb42d855,done,,,,string (free-form text),required IF,if a business is a contributor,NA,0..1,,,M if affiliationIdentifier,affiliationIdentifierSchema,,,,,business_id_type,affaires_id_type,,KT see comments line 35,,,,,
,dmp/contributor/affiliation/business/name,TRUE,,1caf89f2-4e2c-4895-8a0a-57d65eec6415,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1caf89f2-4e2c-4895-8a0a-57d65eec6415,done,,,,string (free-form text),optional,,NA,0..1,,,O,affiliation   (0-n),,,,,industry_name,industrie_nom,,KT yes,,,,,
,dmp/contributor/affiliation/citizen_science_group_name,TRUE,,8587d5ce-b39d-4fa2-957c-8b7c7f96d593,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8587d5ce-b39d-4fa2-957c-8b7c7f96d593,changed,,foaf:name attribute,,string (free-form text),optional,,NA,0..1,,,,,,,,,citizen_science_group_name,science_citoyenne_group_nom,,KT yes,,,,,
,dmp/contributor/affiliation/country/,TRUE,,b0964862-9dc4-4042-b4b7-0849ade4f45a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b0964862-9dc4-4042-b4b7-0849ade4f45a,done,,,,,optional,,NA,0..1,,,,,,,,,,,,KT yes,,,,,
,dmp/contributor/affiliation/country/country_code,TRUE,,137b9af4-8e83-4857-9b9c-017c334e37c4,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=137b9af4-8e83-4857-9b9c-017c334e37c4,done,,,US,controlled vocabulary,required IF,if the contributor's country is identified,NA,0..1,,,,,,,,,affiliation_country_code,affiliation_pays_code,,KT see comments,,,"KT: to be consistent with RDA ""id"" containers (as I believe this is conceptually similar), changed cardinality to reflect that if optionally choosing to affiliate with a country, must provide country code and name",ok (CCA),
,dmp/contributor/affiliation/country/country_name,TRUE,,1a3f6305-7068-4879-b487-5d9b81727bb5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1a3f6305-7068-4879-b487-5d9b81727bb5,done,,,,string (free-form text),required IF,if the contributor's country is identified,NA,0..1,,,,,,,,,affiliation_country_name,affiliation_pays_nom,,KT see comments line 40,,,,,
,dmp/contributor/affiliation/educational_institution/,TRUE,,ff4c9f41-070a-407b-b0c8-ef92a6584d9b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ff4c9f41-070a-407b-b0c8-ef92a6584d9b,done,,,,,optional,,NA,0..1,,,,,,,,,,,,KT yes,,,,,
,dmp/contributor/affiliation/educational_institution/department,TRUE,,cc525a31-967a-4e43-8d67-a243ac5ffade,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cc525a31-967a-4e43-8d67-a243ac5ffade,done,,organization type,,string (free-form text),optional,,NA,0..1,,,,,,,,,educational_institution_department,institution_éducation_département,,KT yes,,,,,
,dmp/contributor/affiliation/educational_institution/educational_institution_id/,TRUE,,19dd83f9-475e-45a4-b325-baa2fbdd18ea,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=19dd83f9-475e-45a4-b325-baa2fbdd18ea,done,,,,,required IF,,NA,0..1,,,,,,,,,,,,KT see comments,,,"KT: simliar changes per other ""id/type"" situations (described above)",ok (CCA),
,dmp/contributor/affiliation/educational_institution/educational_institution_id/identifier,TRUE,,fc23b641-8c60-4a23-a9af-3c50834ab71c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=fc23b641-8c60-4a23-a9af-3c50834ab71c,done,,,,string (free-form text),required IF,if an educational institution is a contributor,NA,0..1,,,,,,,,,educational_institution_id_identifier,institution_éducation_id_identificateur,,KT see comments line 44,,,,,
,dmp/contributor/affiliation/educational_institution/educational_institution_id/type,TRUE,,9799f0c0-6923-4961-a800-1bcb9c2375f5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9799f0c0-6923-4961-a800-1bcb9c2375f5,done,,,,string (free-form text),required IF,if an educational institution is a contributor,NA,0..1,,,,,,,,,educational_institution_id_type,institution_éducation_id_type,,KT see comments line 44,,,,,
,dmp/contributor/affiliation/educational_institution/name,TRUE,,5214b543-8e38-4c92-a26c-658e1f60f8aa,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=5214b543-8e38-4c92-a26c-658e1f60f8aa,done,,,,controlled vocabulary,optional,,NA,0..1,,,,,,,,,educational_institution_name,institution_éducation_nom,,KT yes,,,,,
,dmp/contributor/affiliation/federal_department_or_agency/,TRUE,,8523a16f-e1c6-4485-ad3e-2366daaec9be,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8523a16f-e1c6-4485-ad3e-2366daaec9be,done,,,,,optional,,NA,0..1,,,,,,,,,,,,KT yes,,,,,
,dmp/contributor/affiliation/federal_department_or_agency/code,TRUE,,87f674ae-f2a7-4b20-a583-a2a67fb3f2f4,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=87f674ae-f2a7-4b20-a583-a2a67fb3f2f4,done,,,,controlled vocabulary,required IF,if a federal dept or agency is a contributor,NA,0..1,,,,,,,,,federal_department_or_agency_code,fédéral_département_ou_agence_code,,KT see comments,,,"KT similar changes as per comparable ""id/type"" situations described above",ok (CCA),
